"Player Details","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","Season Type","WEEK","Opponent","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","FP/G","FP","PPR","NON-PPR"
"1","Ja'Marr Chase","CIN","WR","1","2021","1","17","KC","12","30.0","11","266","59.6","24.18","22.17","266.0","91.7","3","75.0","0","2","0","55.6","55.6","55.6","44.6"
"2","Davante Adams","GB","WR","1","2021","1","5","CIN","16","41.0","11","206","59.9","18.73","12.88","206.0","68.8","1","50.0","1","2","0","37.6","37.6","37.6","26.6"
"3","Ja'Marr Chase","CIN","WR","1","2021","1","7","BLT","10","26.3","8","201","48.3","25.13","20.10","201.0","80.0","1","33.3","0","1","1","34.1","34.1","34.1","26.1"
"4","Gabriel Davis","BUF","WR","1","2021","2","2","KC","10","27.0","8","201","61.1","25.13","20.10","201.0","80.0","4","100.0","0","2","0","52.1","52.1","52.1","44.1"
"5","Tyreek Hill","KC","WR","1","2021","1","1","CLV","15","41.7","11","197","58.5","17.91","13.13","197.0","73.3","1","33.3","0","2","0","37.1","37.1","37.1","26.1"
"6","Tee Higgins","CIN","WR","1","2021","1","16","BLT","13","28.3","12","194","37.0","16.17","14.92","194.0","92.3","2","50.0","3","3","0","43.4","43.4","43.4","31.4"
"7","Travis Kelce","KC","TE","1","2021","1","15","LAC","13","27.7","10","191","46.6","19.10","14.69","191.0","76.9","2","66.7","1","3","0","41.1","41.1","41.1","31.1"
"8","Kadarius Toney","NYG","WR","1","2021","1","5","DAL","13","33.3","10","189","64.3","18.90","14.54","189.0","76.9","0","0.0","2","2","0","29.6","29.6","29.6","19.6"
"9","Deebo Samuel","SF","WR","1","2021","1","1","DET","12","46.2","9","189","59.2","21.00","15.75","189.0","75.0","1","50.0","1","1","1","32.9","32.9","32.9","23.9"
"10","Tyreek Hill","KC","WR","1","2021","1","4","PHI","12","40.0","11","186","66.9","16.91","15.50","186.0","91.7","3","60.0","1","2","0","47.6","47.6","47.6","36.6"
"11","Cooper Kupp","LA","WR","1","2021","2","2","TB","11","28.9","9","183","50.0","20.33","16.64","183.0","81.8","1","50.0","1","2","1","32.3","32.3","32.3","23.3"
"12","Justin Jefferson","MIN","WR","1","2021","1","13","DET","14","34.1","11","182","53.5","16.55","13.00","182.0","78.6","1","50.0","1","2","0","35.6","35.6","35.6","24.6"
"13","George Kittle","SF","TE","1","2021","1","13","SEA","12","40.0","9","181","60.5","20.11","15.08","181.0","75.0","2","100.0","0","0","0","39.6","39.6","39.6","30.6"
"14","Tyler Lockett","SEA","WR","1","2021","1","2","TEN","11","35.5","8","178","51.9","22.25","16.18","178.0","72.7","1","50.0","0","1","0","31.8","31.8","31.8","23.8"
"15","Deebo Samuel","SF","WR","1","2021","1","8","CHI","9","32.1","6","171","53.1","28.50","19.00","171.0","66.7","0","0.0","1","1","0","23.1","23.1","23.1","17.1"
"16","Justin Jefferson","MIN","WR","1","2021","1","11","GB","9","25.7","8","169","49.6","21.13","18.78","169.0","88.9","2","66.7","1","1","0","37.2","37.2","37.2","29.2"
"17","Mike Williams","LAC","WR","1","2021","1","5","CLV","15","34.9","8","165","41.5","20.63","11.00","165.0","53.3","2","50.0","0","0","0","36.5","36.5","36.5","28.5"
"18","Kyle Pitts","ATL","TE","1","2021","1","7","MIA","8","20.0","7","163","48.5","23.29","20.38","163.0","87.5","0","0.0","0","0","0","23.3","23.3","23.3","16.3"
"19","Cooper Kupp","LA","WR","1","2021","1","2","IND","11","36.7","9","163","58.6","18.11","14.82","163.0","81.8","2","100.0","1","2","0","36.8","36.8","36.8","27.8"
"20","Stefon Diggs","BUF","WR","1","2021","1","10","NYJ","13","46.4","8","162","44.3","20.25","12.46","162.0","61.5","1","50.0","1","4","0","30.2","30.2","30.2","22.2"
"21","Deebo Samuel","SF","WR","1","2021","1","16","TEN","11","31.4","9","159","49.4","17.67","14.45","159.0","81.8","0","0.0","0","0","2","28.1","28.1","28.1","19.1"
"22","Ja'Marr Chase","CIN","WR","1","2021","1","5","GB","9","23.7","6","159","56.6","26.50","17.67","159.0","66.7","1","50.0","0","0","0","27.9","27.9","27.9","21.9"
"23","Courtland Sutton","DEN","WR","1","2021","1","2","JAX","12","35.3","9","159","48.5","17.67","13.25","159.0","75.0","0","0.0","0","0","0","24.9","24.9","24.9","15.9"
"24","Cooper Kupp","LA","WR","1","2021","1","7","DET","13","31.7","10","156","46.7","15.60","12.00","156.0","76.9","2","66.7","2","3","0","37.6","37.6","37.6","27.6"
"25","Deebo Samuel","SF","WR","1","2021","1","4","SEA","12","29.3","8","156","48.4","19.50","13.00","156.0","66.7","2","66.7","1","1","0","35.7","35.7","35.7","27.7"
