"Player Details","","","","","","","","","Rushing","","","","","","","","","","","","","","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","Season Type","WEEK","Opponent","ATT","YDS","RuYDS/G","YPC","TD","FUM","SCRM","YDS","TD","1+ %","3+ %","5+ %","10+ %","15+ %","20+ %","30+ %","i5","i5 %","i10","i10 %","i20","i20 %","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","WO","WO/G","FP/G","FP"
"1","Jonathan Taylor","IND","RB","1","2025","1","10","ATL","32","244","244.0","7.63","3","0","0","0","0","93.8","65.6","40.6","15.6","9.4","6.3","3.1","2","100.0","3","75.0","8","72.7","3","11.5","3","42","16.5","14.00","14.00","42.0","100.0","0","0.0","0","0","1","27.0","27.0","49.6","49.6"
"2","Jahmyr Gibbs","DET","RB","1","2025","1","12","NYG","15","219","219.0","14.60","2","0","0","0","0","93.3","86.7","60.0","26.7","20.0","20.0","20.0","0","0.0","0","0.0","0","0.0","12","28.6","11","45","16.1","4.09","3.75","45.0","91.7","1","50.0","1","1","0","25.9","25.9","55.4","55.4"
"3","Derrick Henry","BLT","RB","1","2025","1","17","GB","36","216","216.0","6.00","4","0","0","0","0","91.7","77.8","47.2","11.1","5.6","5.6","2.8","4","100.0","6","75.0","13","72.2","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","28.8","28.8","45.6","45.6"
"4","James Cook","BUF","RB","1","2025","1","8","CAR","19","216","216.0","11.37","2","0","0","0","0","94.7","89.5","78.9","36.8","15.8","15.8","5.3","0","0.0","0","0.0","2","33.3","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","11.0","11.0","33.6","33.6"
"5","Rico Dowdle","CAR","RB","1","2025","1","5","MIA","23","206","206.0","8.96","1","0","0","0","0","91.3","60.9","39.1","26.1","17.4","13.0","8.7","1","50.0","2","66.7","4","66.7","4","13.3","3","28","14.1","9.33","7.00","28.0","75.0","0","0.0","0","0","0","20.6","20.6","32.4","32.4"
"6","Bijan Robinson","ATL","RB","1","2025","1","17","LA","22","195","195.0","8.86","1","0","0","0","0","90.9","72.7","36.4","13.6","9.1","9.1","9.1","1","100.0","2","100.0","2","66.7","7","35.0","5","34","27.0","6.80","4.86","34.0","71.4","1","100.0","1","1","0","23.7","23.7","39.9","39.9"
"7","Rico Dowdle","CAR","RB","1","2025","1","6","DAL","30","183","183.0","6.10","0","0","0","0","0","100.0","83.3","56.7","13.3","3.3","","","0","0.0","0","0.0","2","33.3","5","20.0","4","56","28.1","14.00","11.20","56.0","80.0","1","33.3","1","1","1","24.6","24.6","33.9","33.9"
"8","Kyle Monangai","CHI","RB","1","2025","1","9","CIN","26","176","176.0","6.77","0","0","0","0","0","100.0","69.2","53.8","11.5","7.7","3.8","3.8","2","100.0","4","80.0","9","81.8","4","10.8","3","22","7.3","7.33","5.50","22.0","75.0","0","0.0","0","0","0","26.4","26.4","22.8","22.8"
"9","De'Von Achane","MIA","RB","1","2025","1","10","BUF","22","174","174.0","7.91","2","0","0","0","0","81.8","63.6","36.4","22.7","13.6","9.1","9.1","0","0.0","0","0.0","2","66.7","6","28.6","6","51","29.5","8.50","8.50","51.0","100.0","0","0.0","0","0","0","21.4","21.4","40.5","40.5"
"10","Bijan Robinson","ATL","RB","1","2025","1","6","BUF","19","170","170.0","8.95","1","0","0","0","0","84.2","63.2","52.6","15.8","10.5","10.5","5.3","0","0.0","1","50.0","1","25.0","8","25.0","6","68","27.2","11.33","8.50","68.0","75.0","0","0.0","0","1","0","22.8","22.8","35.8","35.8"
"11","Derrick Henry","BLT","RB","1","2025","1","1","BUF","18","169","169.0","9.39","2","1","0","0","0","83.3","61.1","44.4","27.8","22.2","16.7","16.7","0","0.0","0","0.0","0","0.0","1","5.3","1","13","6.2","13.00","13.00","13.0","100.0","0","0.0","0","0","0","10.3","10.3","30.2","30.2"
"12","Jonathan Taylor","IND","RB","1","2025","1","2","DEN","25","165","165.0","6.60","0","0","0","0","0","92.0","60.0","36.0","12.0","4.0","4.0","4.0","0","0.0","1","25.0","4","50.0","2","5.9","2","50","15.8","25.00","25.00","50.0","100.0","1","100.0","1","1","0","19.5","19.5","29.5","29.5"
"13","Tony Pollard","TEN","RB","1","2025","1","14","CLV","25","161","161.0","6.44","2","0","0","0","0","80.0","56.0","28.0","8.0","8.0","8.0","8.0","0","0.0","1","100.0","1","50.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","13.1","13.1","28.1","28.1"
"14","Jonathan Taylor","IND","RB","1","2025","1","8","TEN","12","153","153.0","12.75","2","0","0","0","0","83.3","66.7","50.0","41.7","25.0","8.3","8.3","0","0.0","0","0.0","1","100.0","2","6.5","2","21","7.7","10.50","10.50","21.0","100.0","1","33.3","0","2","0","11.3","11.3","37.4","37.4"
"15","Ray Davis","BUF","RB","1","2025","1","18","NYJ","21","151","151.0","7.19","0","0","0","0","0","95.2","90.5","57.1","23.8","9.5","4.8","","0","0.0","0","0.0","3","27.3","2","6.9","2","23","8.9","11.50","11.50","23.0","100.0","1","25.0","1","1","0","16.6","16.6","25.4","25.4"
"16","David Montgomery","DET","RB","1","2025","1","3","BLT","12","151","151.0","12.58","2","0","0","0","0","83.3","75.0","50.0","33.3","16.7","16.7","16.7","1","25.0","1","16.7","2","18.2","1","3.6","1","13","6.4","13.00","13.00","13.0","100.0","0","0.0","0","0","0","9.1","9.1","29.4","29.4"
"17","Saquon Barkley","PHI","RB","1","2025","1","8","NYG","14","150","150.0","10.71","1","0","0","0","0","92.9","85.7","64.3","21.4","14.3","14.3","7.1","0","0.0","1","100.0","2","40.0","5","25.0","4","24","13.4","6.00","4.80","24.0","80.0","1","25.0","1","2","0","17.6","17.6","33.4","33.4"
"18","TreVeyon Henderson","NE","RB","1","2025","1","15","BUF","14","148","148.0","10.57","2","0","0","0","0","71.4","57.1","42.9","14.3","14.3","14.3","14.3","0","0.0","1","33.3","2","40.0","3","13.0","2","13","8.4","6.50","4.33","13.0","66.7","0","0.0","0","0","0","13.0","13.0","30.1","30.1"
"19","TreVeyon Henderson","NE","RB","1","2025","1","10","TB","14","147","147.0","10.50","2","0","0","0","0","64.3","35.7","28.6","21.4","21.4","14.3","14.3","2","50.0","3","50.0","3","50.0","1","3.2","1","3","1.1","3.00","3.00","3.0","100.0","0","0.0","0","0","0","10.9","10.9","28.0","28.0"
"20","James Cook","BUF","RB","1","2025","1","13","PIT","32","144","144.0","4.50","0","2","0","0","0","87.5","56.3","34.4","9.4","6.3","3.1","3.1","3","100.0","4","80.0","7","87.5","3","13.0","3","33","26.8","11.00","11.00","33.0","100.0","0","0.0","0","0","0","26.1","26.1","19.7","19.7"
"21","Bijan Robinson","ATL","RB","1","2025","1","2","MIN","22","143","143.0","6.50","0","0","0","0","0","90.9","68.2","54.5","18.2","13.6","4.5","","0","0.0","0","0.0","3","42.9","5","23.8","3","25","18.5","8.33","5.00","25.0","60.0","0","0.0","1","3","0","23.2","23.2","19.8","19.8"
"22","Jaylen Warren","PIT","RB","1","2025","1","16","DET","14","143","143.0","10.21","2","0","0","0","0","78.6","64.3","42.9","28.6","21.4","21.4","14.3","0","0.0","1","100.0","3","50.0","2","4.9","2","8","3.0","4.00","4.00","8.0","100.0","0","0.0","1","1","0","13.2","13.2","29.1","29.1"
"23","Travis Etienne","JAX","RB","1","2025","1","1","CAR","16","143","143.0","8.94","0","0","0","0","0","87.5","56.3","43.8","25.0","12.5","6.3","6.3","0","0.0","0","0.0","4","44.4","3","9.7","3","13","7.3","4.33","4.33","13.0","100.0","0","0.0","0","0","0","15.7","15.7","18.6","18.6"
