"Player Details","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","Season Type","WEEK","Opponent","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","FP/G","FP","PPR","NON-PPR"
"1","Puka Nacua","LA","WR","1","2025","1","16","SEA","16","32.7","12","225","49.2","18.75","14.06","225.0","75.0","2","66.7","2","2","0","46.5","46.5","46.5","34.5"
"2","Michael Wilson","ARZ","WR","1","2025","1","11","SF","18","31.6","15","185","40.9","12.33","10.28","185.0","83.3","0","0.0","0","0","0","33.5","33.5","33.5","18.5"
"3","DeVonta Smith","PHI","WR","1","2025","1","7","MIN","11","47.8","9","183","56.1","20.33","16.64","183.0","81.8","1","33.3","0","0","0","33.3","33.3","33.3","24.3"
"4","Puka Nacua","LA","WR","1","2025","1","15","DET","11","28.9","9","181","49.2","20.11","16.45","181.0","81.8","0","0.0","0","0","0","27.9","27.9","27.9","18.9"
"5","Puka Nacua","LA","WR","1","2025","1","4","IND","15","36.6","13","170","45.3","13.08","11.33","170.0","86.7","1","33.3","1","2","0","36.0","36.0","36.0","23.0"
"6","George Pickens","DAL","WR","1","2025","1","6","CAR","11","32.4","9","168","64.4","18.67","15.27","168.0","81.8","1","33.3","1","1","0","31.8","31.8","31.8","22.8"
"7","Malik Nabers","NYG","WR","1","2025","1","2","DAL","13","31.7","9","167","37.1","18.56","12.85","167.0","69.2","2","66.7","0","1","0","37.7","37.7","37.7","28.7"
"8","Jaxon Smith-Njigba","SEA","WR","1","2025","1","12","TEN","10","38.5","8","167","68.4","20.88","16.70","167.0","80.0","2","100.0","0","5","0","37.1","37.1","37.1","29.1"
"9","Puka Nacua","LA","WR","1","2025","1","14","ARZ","11","35.5","7","167","59.4","23.86","15.18","167.0","63.6","2","66.7","0","0","0","35.7","35.7","35.7","28.7"
"10","Kyle Pitts","ATL","TE","1","2025","1","15","TB","12","27.3","11","166","44.5","15.09","13.83","166.0","91.7","3","100.0","2","3","0","45.6","45.6","45.6","34.6"
"11","Ja'Marr Chase","CIN","WR","1","2025","1","2","JAX","16","35.6","14","165","52.1","11.79","10.31","165.0","87.5","1","33.3","1","3","0","36.5","36.5","36.5","22.5"
"12","Amon-Ra St. Brown","DET","WR","1","2025","1","15","LA","18","43.9","13","164","48.5","12.62","9.11","164.0","72.2","2","66.7","4","7","0","41.4","41.4","41.4","28.4"
"13","Oronde Gadsden","LAC","TE","1","2025","1","7","IND","8","14.5","7","164","39.0","23.43","20.50","164.0","87.5","1","33.3","1","2","0","29.4","29.4","29.4","22.4"
"14","Emeka Egbuka","TB","WR","1","2025","1","5","SEA","7","21.2","7","163","43.0","23.29","23.29","163.0","100.0","1","50.0","0","2","0","31.3","31.3","31.3","24.3"
