"Player Details","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","Season Type","WEEK","Opponent","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","FP/G","FP","PPR","NON-PPR"
"1","Ja'Marr Chase","CIN","WR","1","2024","1","10","BLT","16","28.6","11","264","61.7","24.00","16.50","264.0","68.8","3","75.0","2","2","0","55.4","55.4","55.4","44.4"
"2","Jerry Jeudy","CLV","WR","1","2024","1","13","DEN","13","22.4","9","235","47.3","26.11","18.08","235.0","69.2","1","25.0","0","0","0","40.5","40.5","40.5","31.5"
"3","Davante Adams","NYJ","WR","1","2024","1","15","JAX","12","40.0","9","198","68.5","22.00","16.50","198.0","75.0","2","66.7","2","3","0","42.8","42.8","42.8","33.8"
"4","Ja'Marr Chase","CIN","WR","1","2024","1","5","BLT","12","30.8","10","193","49.2","19.30","16.08","193.0","83.3","2","40.0","0","0","0","41.3","41.3","41.3","31.3"
"5","Amon-Ra St. Brown","DET","WR","1","2024","1","15","BUF","17","28.8","14","193","39.1","13.79","11.35","193.0","82.4","1","20.0","2","5","1","38.3","38.3","38.3","24.3"
"6","Drake London","ATL","WR","1","2024","1","18","CAR","18","47.4","10","187","59.9","18.70","10.39","187.0","55.6","2","100.0","0","3","0","40.7","40.7","40.7","30.7"
"7","Quentin Johnston","LAC","WR","1","2024","1","18","LV","14","38.9","13","186","53.8","14.31","13.29","186.0","92.9","0","0.0","0","3","0","31.6","31.6","31.6","18.6"
"8","Jaxon Smith-Njigba","SEA","WR","1","2024","1","9","LA","12","35.3","7","180","49.6","25.71","15.00","180.0","58.3","2","66.7","1","2","0","37.0","37.0","37.0","30.0"
"9","Ja'Marr Chase","CIN","WR","1","2024","1","14","DAL","18","40.9","14","177","48.0","12.64","9.83","177.0","77.8","2","66.7","1","3","0","45.1","45.1","45.1","31.1"
"10","Jauan Jennings","SF","WR","1","2024","1","3","LA","12","40.0","11","175","59.9","15.91","14.58","175.0","91.7","3","100.0","1","2","0","46.5","46.5","46.5","35.5"
"11","Malik Nabers","NYG","WR","1","2024","1","17","IND","8","34.8","7","171","55.3","24.43","21.38","171.0","87.5","2","50.0","1","2","0","36.1","36.1","36.1","29.1"
"12","Dallas Goedert","PHI","TE","1","2024","1","3","NO","11","28.9","10","170","54.7","17.00","15.45","170.0","90.9","0","0.0","0","0","1","27.0","27.0","27.0","17.0"
"13","Jordan Addison","MIN","WR","1","2024","1","12","CHI","9","25.7","8","162","47.1","20.25","18.00","162.0","88.9","1","50.0","2","2","0","30.2","30.2","30.2","22.2"
"14","Puka Nacua","LA","WR","1","2024","1","14","BUF","14","46.7","12","162","50.6","13.50","11.57","162.0","85.7","1","50.0","1","3","0","41.8","41.8","41.8","29.8"
"15","Amon-Ra St. Brown","DET","WR","1","2024","1","11","JAX","11","33.3","11","161","35.9","14.64","14.64","161.0","100.0","2","50.0","1","2","0","38.7","38.7","38.7","27.7"
"16","Mike Evans","TB","WR","1","2024","1","15","LAC","11","40.7","9","159","55.2","17.67","14.45","159.0","81.8","2","50.0","0","0","0","36.9","36.9","36.9","27.9"
"17","Drake London","ATL","WR","1","2024","1","5","TB","13","22.0","12","154","30.3","12.83","11.85","154.0","92.3","1","25.0","0","1","0","33.4","33.4","33.4","21.4"
"18","George Kittle","SF","TE","1","2024","1","14","CHI","6","23.1","6","151","46.5","25.17","25.17","151.0","100.0","0","0.0","0","1","0","21.1","21.1","21.1","15.1"
"19","Nico Collins","HST","WR","1","2024","1","4","JAX","15","37.5","12","151","43.8","12.58","10.07","151.0","80.0","1","50.0","1","3","0","33.1","33.1","33.1","21.1"
"20","Christian Watson","GB","WR","1","2024","1","11","CHI","4","23.5","4","150","57.5","37.50","37.50","150.0","100.0","0","0.0","0","0","0","19.0","19.0","19.0","15.0"
"21","Tee Higgins","CIN","WR","1","2024","1","11","LAC","13","26.0","9","148","41.6","16.44","11.38","148.0","69.2","1","33.3","0","3","0","29.8","29.8","29.8","20.8"
"22","Brandon Aiyuk","SF","WR","1","2024","1","5","ARZ","10","28.6","8","147","60.2","18.38","14.70","147.0","80.0","0","0.0","0","1","0","22.7","22.7","22.7","14.7"
"23","CeeDee Lamb","DAL","WR","1","2024","1","8","SF","16","42.1","13","146","60.1","11.23","9.13","146.0","81.3","2","100.0","1","4","0","39.6","39.6","39.6","26.6"
"24","Justin Jefferson","MIN","WR","1","2024","1","16","SEA","12","34.3","10","144","58.5","14.40","12.00","144.0","83.3","2","66.7","1","2","0","36.4","36.4","36.4","26.4"
"25","Jaylen Waddle","MIA","WR","1","2024","1","12","NE","9","22.5","8","144","45.4","18.00","16.00","144.0","88.9","1","25.0","1","1","0","28.4","28.4","28.4","20.4"
"26","Calvin Ridley","TEN","WR","1","2024","1","8","DET","15","39.5","10","143","53.8","14.30","9.53","143.0","66.7","0","0.0","1","2","0","23.6","23.6","23.6","13.6"
"27","Jameson Williams","DET","WR","1","2024","1","16","CHI","7","21.9","5","143","42.6","28.60","20.43","143.0","71.4","1","33.3","0","2","0","26.0","26.0","26.0","21.0"
"28","Jerry Jeudy","CLV","WR","1","2024","1","11","NO","10","21.3","6","142","35.9","23.67","14.20","142.0","60.0","1","50.0","0","1","0","26.2","26.2","26.2","20.2"
"29","Darnell Mooney","ATL","WR","1","2024","1","14","MIN","6","16.2","6","142","41.3","23.67","23.67","142.0","100.0","0","0.0","0","0","0","20.2","20.2","20.2","14.2"
"30","Keenan Allen","CHI","WR","1","2024","1","16","DET","10","25.0","9","141","42.2","15.67","14.10","141.0","90.0","1","50.0","0","1","0","29.1","29.1","29.1","20.1"
"31","Ricky Pearsall","SF","WR","1","2024","1","17","DET","10","25.0","8","141","34.2","17.63","14.10","141.0","80.0","1","33.3","1","1","0","28.7","28.7","28.7","20.7"
"32","Brock Bowers","LV","TE","1","2024","1","13","KC","13","37.1","10","140","41.2","14.00","10.77","140.0","76.9","1","50.0","1","1","0","30.2","30.2","30.2","20.2"
"33","Jayden Reed","GB","WR","1","2024","1","4","MIN","8","14.8","7","139","35.7","19.86","17.38","139.0","87.5","1","25.0","0","1","0","27.1","27.1","27.1","20.1"
"34","Jayden Reed","GB","WR","1","2024","1","1","PHI","6","17.1","4","138","53.1","34.50","23.00","138.0","66.7","1","50.0","0","0","0","33.1","33.1","33.1","29.1"
"35","Justin Jefferson","MIN","WR","1","2024","1","9","IND","9","25.7","7","137","43.9","19.57","15.22","137.0","77.8","0","0.0","0","1","0","21.6","21.6","21.6","14.6"
"36","Nico Collins","HST","WR","1","2024","1","2","CHI","10","27.8","8","135","51.9","16.88","13.50","135.0","80.0","1","100.0","0","0","0","27.5","27.5","27.5","19.5"
"37","Alec Pierce","IND","WR","1","2024","1","5","JAX","3","6.7","3","134","35.0","44.67","44.67","134.0","100.0","1","33.3","0","0","0","22.4","22.4","22.4","19.4"
"38","Justin Jefferson","MIN","WR","1","2024","1","2","SF","7","26.9","4","133","49.6","33.25","19.00","133.0","57.1","1","50.0","0","0","0","23.3","23.3","23.3","19.3"
"39","Jordan Addison","MIN","WR","1","2024","1","14","ATL","10","35.7","8","133","38.3","16.63","13.30","133.0","80.0","3","60.0","2","5","0","39.3","39.3","39.3","31.3"
"40","Trey McBride","ARZ","TE","1","2024","1","12","SEA","15","40.5","12","133","46.7","11.08","8.87","133.0","80.0","0","0.0","1","1","0","25.3","25.3","25.3","13.3"
"41","Brian Thomas","JAX","WR","1","2024","1","16","LV","12","30.8","9","132","53.4","14.67","11.00","132.0","75.0","1","100.0","0","0","0","28.2","28.2","28.2","19.2"
"42","Justin Jefferson","MIN","WR","1","2024","1","14","ATL","7","25.0","7","132","38.0","18.86","18.86","132.0","100.0","2","40.0","0","2","0","32.2","32.2","32.2","25.2"
"43","Zay Flowers","BLT","WR","1","2024","1","6","WAS","9","34.6","9","132","40.9","14.67","14.67","132.0","100.0","0","0.0","0","0","0","22.4","22.4","22.4","13.4"
"44","Tee Higgins","CIN","WR","1","2024","1","17","DEN","12","24.5","11","131","31.8","11.91","10.92","131.0","91.7","3","100.0","3","4","1","41.1","41.1","41.1","30.1"
"45","JuJu Smith-Schuster","KC","WR","1","2024","1","5","NO","8","20.5","7","130","39.3","18.57","16.25","130.0","87.5","0","0.0","1","1","0","20.0","20.0","20.0","13.0"
"46","Marvin Harrison","ARZ","WR","1","2024","1","2","LA","8","38.1","4","130","48.9","32.50","16.25","130.0","50.0","2","66.7","2","2","0","29.0","29.0","29.0","25.0"
"47","Tyreek Hill","MIA","WR","1","2024","1","1","JAX","11","29.7","7","130","38.5","18.57","11.82","130.0","63.6","1","100.0","0","1","0","26.0","26.0","26.0","19.0"
"48","DK Metcalf","SEA","WR","1","2024","1","2","NE","14","31.8","10","129","39.4","12.90","9.21","129.0","71.4","1","100.0","0","1","0","28.9","28.9","28.9","18.9"
"49","Puka Nacua","LA","WR","1","2024","1","17","ARZ","13","40.6","10","129","68.3","12.90","9.92","129.0","76.9","0","0.0","1","1","0","22.9","22.9","22.9","12.9"
"50","George Kittle","SF","TE","1","2024","1","8","DAL","7","26.9","6","128","49.2","21.33","18.29","128.0","85.7","1","100.0","1","1","0","24.8","24.8","24.8","18.8"
"51","Malik Nabers","NYG","WR","1","2024","1","2","WAS","18","64.3","10","127","71.3","12.70","7.06","127.0","55.6","1","50.0","3","3","0","28.7","28.7","28.7","18.7"
"52","Zay Flowers","BLT","WR","1","2024","1","9","DEN","6","31.6","5","127","45.4","25.40","21.17","127.0","83.3","2","66.7","2","2","0","29.7","29.7","29.7","24.7"
"53","Brock Bowers","LV","TE","1","2024","1","11","MIA","16","37.2","13","126","44.7","9.69","7.88","126.0","81.3","1","50.0","1","2","0","31.3","31.3","31.3","18.3"
"54","Tank Dell","HST","WR","1","2024","1","9","NYJ","9","29.0","6","126","66.0","21.00","14.00","126.0","66.7","0","0.0","0","1","0","18.6","18.6","18.6","12.6"
"55","Alec Pierce","IND","WR","1","2024","1","1","HST","3","15.8","3","125","59.0","41.67","41.67","125.0","100.0","1","50.0","0","0","0","21.5","21.5","21.5","18.5"
