"Player Details","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","Season Type","WEEK","Opponent","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","FP/G","FP","PPR","NON-PPR"
"1","Amari Cooper","CLV","WR","1","2023","1","16","HST","15","34.1","11","265","70.9","24.09","17.67","265.0","73.3","2","66.7","1","4","0","51.5","51.5","51.5","40.5"
"2","D.J. Moore","CHI","WR","1","2023","1","5","WAS","10","34.5","8","230","81.6","28.75","23.00","230.0","80.0","3","75.0","0","2","0","49.0","49.0","49.0","41.0"
"3","CeeDee Lamb","DAL","WR","1","2023","1","17","DET","17","44.7","13","227","65.8","17.46","13.35","227.0","76.5","1","50.0","1","1","1","41.2","41.2","41.2","28.2"
"4","Keenan Allen","LAC","WR","1","2023","1","3","MIN","20","41.7","18","215","47.4","11.94","10.75","215.0","90.0","0","0.0","0","0","1","45.5","45.5","45.5","27.5"
"5","Tyreek Hill","MIA","WR","1","2023","1","1","LAC","15","33.3","11","215","46.1","19.55","14.33","215.0","73.3","2","66.7","3","4","0","44.5","44.5","44.5","33.5"
"6","Nico Collins","HST","WR","1","2023","1","18","IND","9","34.6","9","195","73.9","21.67","21.67","195.0","100.0","1","50.0","0","0","0","34.5","34.5","34.5","25.5"
"7","George Pickens","PIT","WR","1","2023","1","16","CIN","6","22.2","4","195","67.2","48.75","32.50","195.0","66.7","2","100.0","0","0","1","35.5","35.5","35.5","31.5"
"8","Ja'Marr Chase","CIN","WR","1","2023","1","5","ARZ","19","41.3","15","192","60.6","12.80","10.11","192.0","78.9","3","100.0","3","5","0","52.2","52.2","52.2","37.2"
"9","Justin Jefferson","MIN","WR","1","2023","1","18","DET","14","31.8","12","192","48.5","16.00","13.71","192.0","85.7","1","50.0","0","0","0","36.0","36.0","36.0","24.0"
"10","CeeDee Lamb","DAL","WR","1","2023","1","9","PHI","16","36.4","11","191","51.1","17.36","11.94","191.0","68.8","0","0.0","1","1","1","29.1","29.1","29.1","18.1"
"11","Nico Collins","HST","WR","1","2023","1","13","DEN","12","42.9","9","191","65.4","21.22","15.92","191.0","75.0","1","100.0","3","3","0","34.1","34.1","34.1","25.1"
"12","Tyreek Hill","MIA","WR","1","2023","1","5","NYG","9","30.0","8","181","58.8","22.63","20.11","181.0","88.9","1","50.0","0","1","0","32.1","32.1","32.1","24.1"
"13","Travis Kelce","KC","TE","1","2023","1","7","LAC","13","31.0","12","179","42.2","14.92","13.77","179.0","92.3","1","25.0","1","1","0","35.9","35.9","35.9","23.9"
"14","A.J. Brown","PHI","WR","1","2023","1","4","WAS","14","37.8","9","175","54.9","19.44","12.50","175.0","64.3","2","100.0","0","0","0","38.5","38.5","38.5","29.5"
"15","Keenan Allen","LAC","WR","1","2023","1","10","DET","14","35.0","11","175","54.2","15.91","12.50","175.0","78.6","2","50.0","0","0","0","40.5","40.5","40.5","29.5"
"16","Brandin Cooks","DAL","WR","1","2023","1","10","NYG","10","22.7","9","173","36.7","19.22","17.30","173.0","90.0","1","25.0","1","1","0","32.3","32.3","32.3","23.3"
"17","Noah Brown","HST","WR","1","2023","1","10","CIN","8","20.5","7","172","48.3","24.57","21.50","172.0","87.5","0","0.0","0","0","0","24.2","24.2","24.2","17.2"
"18","Davante Adams","LV","WR","1","2023","1","3","PIT","20","45.5","13","172","53.1","13.23","8.60","172.0","65.0","2","100.0","2","3","0","42.2","42.2","42.2","29.2"
