"Player Details","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","Season Type","WEEK","Opponent","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","FP/G","FP","PPR","NON-PPR"
"1","Justin Jefferson","MIN","WR","1","2022","1","14","DET","15","36.6","11","223","52.5","20.27","14.87","223.0","73.3","0","0.0","0","1","0","33.3","33.3","33.3","22.3"
"2","Mike Evans","TB","WR","1","2022","1","17","CAR","12","26.7","10","207","47.9","20.70","17.25","207.0","83.3","3","100.0","0","1","0","48.7","48.7","48.7","38.7"
"3","Justin Jefferson","MIN","WR","1","2022","1","10","BUF","16","32.0","10","193","54.1","19.30","12.06","193.0","62.5","1","100.0","3","4","0","35.3","35.3","35.3","25.3"
"4","Tyreek Hill","MIA","WR","1","2022","1","2","BLT","13","26.0","11","190","40.5","17.27","14.62","190.0","84.6","2","33.3","0","0","0","42.0","42.0","42.0","31.0"
"5","Tyreek Hill","MIA","WR","1","2022","1","8","DET","14","38.9","12","188","49.2","15.67","13.43","188.0","85.7","0","0.0","0","0","0","31.5","31.5","31.5","19.5"
"6","Justin Jefferson","MIN","WR","1","2022","1","1","GB","11","34.4","9","184","66.4","20.44","16.73","184.0","81.8","2","100.0","3","3","0","39.4","39.4","39.4","30.4"
"7","A.J. Brown","PHI","WR","1","2022","1","15","CHI","16","43.2","9","181","57.5","20.11","11.31","181.0","56.3","0","0.0","0","0","0","27.1","27.1","27.1","18.1"
"8","T.J. Hockenson","DET","TE","1","2022","1","4","SEA","12","30.0","8","179","46.6","22.38","14.92","179.0","66.7","2","50.0","2","2","0","39.9","39.9","39.9","31.9"
"9","Davante Adams","LV","WR","1","2022","1","13","LAC","12","40.0","8","177","70.8","22.13","14.75","177.0","66.7","2","100.0","1","1","0","37.7","37.7","37.7","29.7"
"10","Tyreek Hill","MIA","WR","1","2022","1","6","MIN","15","31.9","12","177","42.3","14.75","11.80","177.0","80.0","0","0.0","0","0","0","29.7","29.7","29.7","17.7"
"11","Gabe Davis","BUF","WR","1","2022","1","5","PIT","6","16.7","3","171","39.6","57.00","28.50","171.0","50.0","2","50.0","0","0","0","32.1","32.1","32.1","29.1"
"12","Jaylen Waddle","MIA","WR","1","2022","1","2","BLT","19","38.0","11","171","36.5","15.55","9.00","171.0","57.9","2","33.3","3","4","0","40.1","40.1","40.1","29.1"
